Move,0,1,2,3,4,5,6,7,8
0,61,0,0,0,0,0,0,0,0
1,3,3,2,6,o,3,3,x,3
1,0,2,2,3,o,2,x,3,3
1,3,x,3,3,3,3,3,o,3
1,3,2,3,2,3,0,x,o,3
1,6,3,3,o,3,3,3,x,2
1,2,3,3,3,2,o,x,2,3
1,2,1,2,0,o,0,4,x,1
1,2,3,5,3,7,2,x,2,o
1,7,7,5,4,18,3,o,x,5
1,1,3,2,3,2,o,x,2,1
1,0,0,o,0,x,0,0,1,30
1,3,3,o,6,2,2,x,6,8
2,2,2,o,2,2,o,x,x,2
2,o,2,2,2,2,o,x,x,2
2,2,x,2,2,2,2,x,o,o
2,o,1,2,1,x,2,x,o,1
2,2,2,2,o,2,2,x,o,x
2,2,x,o,3,2,2,x,o,5
2,3,2,o,2,2,x,x,o,2
2,2,6,2,x,2,2,o,x,o
2,o,2,2,2,2,x,x,o,2
2,2,o,2,2,o,2,x,2,x
2,x,o,0,2,2,2,x,o,2
2,2,x,o,2,2,2,o,x,2
2,2,x,2,o,o,2,2,x,2
2,2,o,2,2,x,2,x,1,o
2,0,29,0,0,x,0,o,x,o
2,2,x,2,2,o,x,o,2,2
2,2,5,o,x,2,2,o,x,2
2,2,x,o,2,2,2,x,2,o
2,o,2,x,1,2,2,x,2,o
2,o,8,1,2,x,1,o,x,2
2,2,2,o,2,2,2,x,x,o
2,5,2,2,x,o,o,2,x,2
2,2,2,2,o,o,2,x,x,2
2,o,o,2,2,2,2,x,2,x
2,o,2,2,5,o,1,x,x,2
2,o,2,2,2,2,x,o,x,2
2,o,2,2,2,2,x,x,2,o
2,o,x,2,2,3,2,x,o,2
2,2,2,2,2,o,x,x,2,o
2,2,2,o,2,o,x,x,6,9
2,o,2,2,2,x,2,x,1,o
2,2,2,o,o,2,1,x,x,5
2,2,x,2,2,o,2,x,2,o
2,2,x,1,2,2,1,o,x,o
2,2,2,2,2,o,o,x,x,2
2,o,o,2,2,2,2,x,x,2
2,2,2,2,2,o,x,o,x,2
2,o,5,o,2,2,2,x,x,2
2,5,x,2,2,o,2,o,x,2
2,2,2,o,1,x,o,x,2,2
2,2,2,o,2,x,2,x,2,o
2,2,2,o,2,x,2,x,o,2
2,1,o,1,2,x,5,o,x,3
2,o,0,1,1,o,1,x,4,x
2,2,o,o,2,2,2,x,x,2
2,2,x,2,2,o,2,x,o,2
2,2,2,2,o,2,x,o,x,2
2,2,o,2,2,2,2,x,x,o
2,2,2,x,o,2,2,x,o,2
2,x,2,2,2,o,2,x,o,2
2,2,o,2,2,2,x,x,2,o
2,2,2,x,2,2,o,x,o,2
2,x,2,2,1,2,2,x,o,o
2,2,o,2,x,2,o,2,x,2
2,x,2,2,2,2,o,x,o,1
2,2,x,2,2,2,o,x,2,o
2,2,o,o,2,3,x,x,2,3
2,2,o,1,1,x,x,o,1,1
2,1,2,2,2,x,o,x,o,2
2,o,x,2,2,2,2,o,x,2
2,2,2,0,2,x,o,o,x,2
2,2,x,2,o,2,o,2,x,2
2,2,o,x,2,2,2,x,o,2
2,2,x,2,2,2,x,o,o,2
2,2,2,2,2,x,x,o,o,5
2,2,o,2,o,2,1,x,x,2
2,1,o,2,1,o,1,x,x,2
2,2,x,2,2,2,o,o,x,2
2,2,3,o,5,2,x,x,2,o
2,2,o,2,2,o,x,x,2,2
2,2,2,2,o,2,o,x,x,2
2,2,2,x,2,o,2,x,o,2
2,2,2,2,2,o,2,x,o,x
2,2,2,2,2,o,x,x,o,2
2,2,2,x,2,o,2,x,2,o
2,2,o,2,1,x,o,x,2,1
2,2,2,3,3,2,x,x,o,o
2,2,o,2,2,2,o,x,x,2
2,2,2,2,x,2,o,o,x,2
2,2,2,2,o,2,x,x,o,2
2,2,o,2,2,2,x,x,o,2
2,o,2,2,2,3,2,x,o,x
2,1,1,o,1,o,2,x,x,2
2,o,2,x,2,2,2,x,o,2
2,x,1,o,3,2,2,x,o,1
2,2,2,2,2,o,2,x,x,o
2,2,1,x,2,2,2,x,o,o
2,2,x,2,5,x,2,o,2,o
2,2,2,5,o,x,2,o,x,2
2,2,1,1,o,x,1,x,o,2
2,o,2,2,2,2,2,x,x,o
2,2,2,o,2,2,x,o,x,2
2,o,2,o,2,2,0,x,3,x
2,2,2,2,2,x,o,x,2,o
2,2,o,2,2,2,x,o,x,2
2,2,x,2,o,2,2,o,x,2
2,2,2,2,2,2,o,x,x,o
2,2,o,2,2,2,2,x,o,x
2,2,x,2,2,x,2,o,o,2
2,2,2,1,o,x,o,2,x,2
2,2,2,2,o,2,2,x,x,o
2,0,0,0,0,x,0,x,o,o
2,1,o,2,2,x,1,x,o,2
2,1,2,o,0,x,2,o,x,0
2,2,x,2,2,2,o,x,o,2
2,2,o,2,o,x,2,2,x,2
2,o,2,1,o,2,2,x,x,2
2,2,2,2,x,o,3,o,x,2
3,1,x,x,o,1,1,o,x,o
3,1,x,x,o,x,1,o,o,1
3,1,x,x,o,x,1,o,1,o
3,1,x,x,o,1,1,o,o,x
3,1,x,x,o,1,x,o,o,1
3,1,x,x,o,1,1,x,o,o
3,1,x,x,o,x,1,1,o,o
3,o,x,o,2,o,1,x,1,x
3,o,x,o,1,o,1,x,x,4
3,1,x,x,o,o,1,o,x,1
3,1,x,x,x,o,1,o,o,1
3,1,x,x,x,o,1,o,1,o
3,x,o,o,1,o,0,x,x,1
3,1,x,x,o,o,1,o,1,x
3,1,x,x,o,o,x,o,1,1
3,1,x,x,1,o,1,x,o,o
3,1,x,x,o,o,1,x,o,1
3,1,x,x,x,o,1,1,o,o
3,1,x,x,o,o,1,1,o,x
3,1,o,1,x,o,o,x,x,0
3,1,x,x,o,o,1,x,1,o
3,1,x,x,o,o,1,1,x,o
3,1,x,x,1,1,o,o,x,o
3,1,x,x,o,1,o,o,x,1
3,1,x,x,1,o,o,o,x,1
3,1,x,x,1,1,o,o,o,x
3,1,x,x,o,1,o,o,1,x
3,1,x,x,1,o,o,o,1,x
3,1,x,x,x,1,o,o,o,1
3,1,x,x,x,1,o,o,1,o
3,1,x,x,x,o,o,o,1,1
3,1,x,x,1,x,o,o,o,1
3,o,1,o,o,x,1,x,x,1
3,1,x,x,o,x,o,o,1,1
3,1,x,x,1,o,o,x,o,1
3,1,x,x,o,1,o,1,o,x
3,1,x,x,1,o,o,1,o,x
3,1,x,x,x,1,o,1,o,o
3,1,x,x,x,o,o,1,o,1
3,1,x,x,1,1,o,x,o,o
3,1,x,x,1,x,o,1,o,o
3,1,x,x,o,1,o,x,o,1
3,1,x,x,o,x,o,1,o,1
3,1,x,x,1,o,o,x,1,o
3,1,x,x,o,1,o,1,x,o
3,1,x,x,1,o,o,1,x,o
3,o,1,1,o,o,x,x,x,4
3,1,x,x,o,1,o,x,1,o
3,1,x,x,o,x,o,1,1,o
3,o,1,x,x,1,1,o,x,o
3,o,x,x,1,1,1,o,x,o
3,1,x,o,4,o,x,x,1,o
3,1,x,o,4,o,1,x,x,o
3,o,x,x,1,1,o,o,x,1
3,o,x,x,1,1,o,o,1,x
3,o,1,x,x,x,1,o,o,1
3,o,x,x,x,1,1,o,o,1
3,o,1,x,x,x,1,o,1,o
3,o,x,x,x,1,1,o,1,o
3,o,x,x,x,o,1,o,1,1
3,1,1,o,o,2,x,x,x,o
3,o,x,x,1,x,1,o,o,1
3,o,x,x,1,x,1,o,1,o
3,1,4,o,o,x,1,x,x,o
3,o,x,x,1,1,x,o,1,o
3,o,x,x,1,1,1,o,o,x
3,o,x,x,1,1,x,o,o,1
3,o,x,x,1,o,1,o,1,x
3,o,x,x,1,o,x,o,1,1
3,o,x,x,1,o,1,x,o,1
3,o,x,x,1,1,o,1,o,x
3,o,1,x,x,x,1,1,o,o
3,o,x,x,x,1,1,1,o,o
3,o,x,x,x,o,1,1,o,1
3,o,x,x,x,1,o,1,o,1
3,o,x,x,1,1,1,x,o,o
3,o,x,x,1,x,1,1,o,o
3,o,x,x,o,1,1,x,o,1
3,o,x,x,o,1,1,1,o,x
3,o,x,x,o,x,1,1,o,1
3,o,x,x,o,1,x,1,o,1
3,o,x,x,1,o,1,1,o,x
3,o,x,x,1,o,x,1,o,1
3,o,x,x,1,1,o,x,o,1
3,1,o,4,o,x,1,x,x,o
3,o,x,x,o,1,1,1,x,o
3,o,x,x,1,1,o,1,x,o
3,o,x,x,x,1,o,1,1,o
3,o,x,x,o,1,x,1,1,o
3,o,x,x,o,1,1,x,1,o
3,o,x,x,o,x,1,1,1,o
3,o,x,x,1,1,o,x,1,o
3,o,x,x,1,x,o,1,1,o
3,o,x,x,o,o,1,x,1,1
3,o,x,x,o,o,1,1,x,1
3,o,x,x,o,1,o,1,x,1
3,o,x,x,o,1,o,1,1,x
3,o,x,x,o,o,1,1,1,x
3,o,x,x,o,o,x,1,1,1
3,o,x,x,o,1,o,x,1,1
3,o,x,x,o,x,o,1,1,1
3,o,x,x,1,o,o,x,1,1
3,o,x,x,1,o,o,1,x,1
3,o,x,x,1,o,o,1,1,x
3,o,x,x,x,o,o,1,1,1
3,o,x,o,2,1,x,x,o,1
3,o,x,o,1,x,2,x,o,2
3,o,x,o,2,1,1,x,o,x
3,1,o,x,o,x,1,o,x,1
3,1,x,o,2,o,x,x,o,5
3,1,o,x,x,1,o,o,x,1
3,x,o,x,1,1,o,o,x,1
3,4,x,o,1,2,x,x,o,o
3,o,o,x,1,x,1,o,x,1
3,1,o,x,o,x,1,o,1,x
3,1,o,x,x,o,1,o,1,x
3,x,o,x,1,1,o,o,1,x
3,x,2,o,1,1,x,x,o,o
3,o,o,x,1,x,1,o,1,x
3,1,o,x,x,x,1,o,o,1
3,1,o,x,x,x,1,o,1,o
3,1,3,o,o,x,x,x,o,1
3,o,o,x,x,x,1,o,1,1
3,x,o,x,1,x,1,o,1,o
3,3,0,o,o,x,1,x,o,x
3,x,o,x,1,1,1,o,o,x
3,x,o,x,1,o,1,o,1,x
3,1,o,x,o,x,1,1,o,x
3,o,o,x,x,1,1,1,o,x
3,o,o,x,1,x,1,1,o,x
3,1,o,x,x,x,1,1,o,o
3,1,o,x,x,x,o,1,o,1
3,o,o,x,x,x,1,1,o,1
3,x,o,x,1,x,1,1,o,o
3,x,o,x,1,1,o,x,o,1
3,x,o,x,1,x,o,1,o,1
3,1,o,x,o,x,1,1,x,o
3,o,x,1,2,o,x,x,o,1
3,o,x,1,2,o,3,x,o,x
3,o,x,1,o,2,1,x,o,x
3,o,o,x,x,1,1,1,x,o
3,o,o,x,1,x,1,1,x,o
3,o,1,0,1,x,x,x,o,o
3,x,o,x,1,1,o,x,1,o
3,x,o,x,1,x,o,1,1,o
3,1,o,x,o,o,1,x,1,x
3,o,o,x,o,1,1,x,1,x
3,x,o,x,o,1,o,1,x,1
3,o,o,x,o,x,1,1,x,1
3,x,o,x,o,1,o,1,1,x
3,o,o,x,o,x,1,1,1,x
3,0,1,1,o,x,o,x,o,x
3,x,o,x,1,o,o,x,1,1
3,o,o,x,1,o,1,x,1,x
3,1,o,x,x,o,o,1,x,1
3,x,o,x,1,o,o,1,x,1
3,1,x,1,4,o,x,x,o,o
3,x,o,x,1,o,o,1,1,x
3,o,o,x,x,o,1,1,1,x
3,o,o,x,x,1,o,1,x,1
3,1,x,1,o,x,0,x,o,o
3,o,o,x,x,x,o,1,1,1
3,1,o,o,x,x,o,1,x,1
3,1,x,o,x,1,x,o,o,1
3,1,x,o,x,x,1,o,1,o
3,4,1,o,o,x,x,o,x,1
3,4,1,o,x,x,o,o,x,1
3,o,x,o,1,1,x,o,x,1
3,o,x,o,1,x,x,o,1,1
3,o,o,7,1,x,x,o,x,1
3,1,x,o,x,o,x,1,o,1
3,1,x,o,x,x,o,1,o,1
3,o,x,o,x,1,x,1,o,1
3,1,x,o,o,x,x,1,o,1
3,0,o,0,x,x,29,o,x,o
3,1,x,o,x,o,1,1,x,o
3,o,x,o,x,1,x,1,1,o
3,o,1,0,x,x,0,o,x,o
3,1,x,1,x,4,o,o,x,o
3,0,1,4,x,x,o,o,x,o
3,1,x,o,x,o,o,1,x,1
3,o,x,o,1,o,x,1,x,1
3,o,x,o,x,o,x,1,1,1
